index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,57.0,53.89647542279121,False,53.89647542279121,False,53.89647542279121,False,53.89647542279121,False,28.351,1406,3099,4505
1,1,,72.0,71.07142857142857,False,71.07142857142857,False,71.07142857142857,False,71.07142857142857,False,21.803,1244,2376,3620
2,2,,32.0,31.50877192982456,False,31.50877192982456,False,31.50877192982456,False,31.50877192982456,False,23.767,1280,2599,3879
3,3,,22.0,19.705179282868528,False,19.705179282868528,False,19.705179282868528,False,19.705179282868528,False,27.384,1322,3007,4329
4,4,,29.0,27.02915838303512,False,27.02915838303512,False,27.02915838303512,False,27.02915838303512,False,28.288,1457,3092,4549
5,5,,26.0,24.035087719298247,False,24.035087719298247,False,24.035087719298247,False,24.035087719298247,False,26.536,1643,2915,4558
6,6,,13.0,12.333333333333334,False,12.333333333333334,False,12.333333333333334,False,12.333333333333334,False,27.597,1259,3024,4283
7,7,,10.0,9.7,False,9.7,False,9.7,False,9.7,False,28.021,1366,3068,4434
8,8,,18.0,17.833333333333332,False,17.833333333333332,False,17.833333333333332,False,17.833333333333332,False,24.869,1620,2777,4397
9,9,,9.0,8.272727272727273,False,8.272727272727273,False,8.272727272727273,False,8.272727272727273,False,27.775,1823,3090,4913
10,10,,18.0,17.397670549084857,False,17.397670549084857,False,17.397670549084857,False,17.397670549084857,False,39.538,1462,4416,5878
11,11,,49.0,48.16334661354582,False,48.16334661354582,False,48.16334661354582,False,48.16334661354582,False,22.426,1272,2487,3759
12,12,,27.0,25.356521739130432,False,25.356521739130432,False,25.356521739130432,False,25.356521739130432,False,30.487,1237,3402,4639
13,13,,14.0,13.413333333333334,False,13.413333333333334,False,13.413333333333334,False,13.413333333333334,False,34.953,1347,3904,5251
14,14,,40.0,39.7974231912785,False,39.7974231912785,False,39.7974231912785,False,39.7974231912785,False,28.838,1543,3227,4770
15,15,,18.0,17.246666666666666,False,17.246666666666666,False,17.246666666666666,False,17.246666666666666,False,27.360,1417,3078,4495
16,16,,47.0,45.5625,False,45.5625,False,45.5625,False,45.5625,False,19.939,1301,2217,3518
17,17,,22.0,21.2375,False,21.2375,False,21.2375,False,21.2375,False,22.101,1502,2476,3978
18,18,,14.0,12.966101694915254,False,12.966101694915254,False,12.966101694915254,False,12.966101694915254,False,23.645,1378,2648,4026
19,19,,11.0,10.636986301369863,False,10.636986301369863,False,10.636986301369863,False,10.636986301369863,False,31.042,1298,3446,4744
20,20,,22.0,21.942028985507246,False,21.942028985507246,False,21.942028985507246,False,21.942028985507246,False,24.638,1276,2764,4040
21,21,,30.0,28.993939393939392,False,28.993939393939392,False,28.993939393939392,False,28.993939393939392,False,21.906,1405,2455,3860
22,22,,24.0,23.836849507735582,False,23.836849507735582,False,23.836849507735582,False,23.836849507735582,False,44.703,1657,4981,6638
